gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
2,2,2,1,1,59,58,47
1,3,3,1,2,70,72,76
2,2,4,1,2,82,84,78
2,5,4,2,1,90,90,82
1,3,5,2,1,43,62,61
2,3,3,2,1,80,64,66
2,4,3,1,1,81,82,84
2,3,1,1,1,57,61,54
1,4,1,1,1,59,72,80
1,4,4,1,1,64,76,74
2,3,5,1,2,63,64,66
1,5,5,1,2,71,70,70
1,2,2,2,1,64,73,71
2,4,5,2,1,55,46,44
1,5,4,1,1,51,51,54
1,3,4,1,2,62,76,80
1,5,4,1,2,93,100,95
2,3,2,2,1,54,72,59
1,4,3,2,1,69,65,74
2,4,2,2,1,44,51,48
1,5,3,1,2,86,85,91
1,5,4,1,1,85,92,85
1,1,6,2,1,50,67,73
2,4,1,1,2,88,74,75
1,5,4,1,1,59,62,69
1,5,1,2,1,32,34,38
2,2,2,2,1,36,29,27
1,2,1,2,2,63,78,79
2,4,4,1,2,67,54,63
1,4,1,1,2,65,78,82
2,4,6,1,1,85,84,89
1,3,6,1,1,73,78,74
1,1,2,2,2,34,48,41
1,4,5,2,2,93,100,100
1,4,1,2,1,67,84,84
2,4,3,1,1,88,77,77
2,2,2,1,1,57,48,51
1,4,3,1,2,79,84,91
1,3,5,2,1,67,75,72
2,5,5,1,2,70,64,70
2,4,5,2,1,50,42,48
1,1,3,1,1,69,84,82
1,3,5,1,2,52,61,66
1,3,5,2,2,47,62,66
1,2,4,2,1,46,61,55
1,5,3,1,1,68,70,66
2,5,5,1,2,100,100,100
1,3,2,1,1,44,61,52
1,3,4,1,2,57,77,80
2,2,3,1,2,91,96,91
2,4,2,2,1,69,70,67
1,3,2,2,1,35,53,46
2,4,2,1,1,72,66,66
1,2,4,2,1,54,65,65
2,4,2,2,1,74,70,69
2,5,1,1,2,74,64,60
2,5,4,2,1,64,56,52
1,4,2,2,2,65,61,71
2,5,4,2,2,46,43,44
1,3,1,2,1,48,56,51
2,3,3,2,2,67,74,70
2,4,3,2,1,62,57,62
2,4,4,2,2,61,71,73
2,3,5,2,2,70,75,74
2,3,4,1,2,98,87,90
2,4,3,2,1,70,63,58
2,1,4,1,1,67,57,53
1,5,2,2,1,57,58,57
2,4,3,1,2,85,81,85
2,4,1,1,2,77,68,69
2,3,6,2,2,72,66,72
1,4,6,1,1,78,91,96
2,3,2,1,1,81,66,64
2,1,1,2,2,61,62,61
1,2,2,1,1,58,68,61
1,3,4,1,1,54,61,58
2,2,2,1,1,82,82,80
1,4,3,2,1,49,58,60
2,2,1,2,2,49,50,52
1,5,2,2,2,57,75,73
2,5,2,1,1,94,73,71
1,4,3,1,2,75,77,83
1,5,1,2,1,74,74,72
2,3,2,1,2,58,52,54
1,3,3,1,1,62,69,69
2,5,4,1,1,72,57,62
2,3,3,1,1,84,87,81
1,4,6,1,1,92,100,100
1,4,2,1,1,45,63,59
2,3,2,1,1,75,81,71
1,1,3,1,1,56,58,64
1,4,1,2,1,48,54,53
1,5,4,1,1,100,100,100
1,3,1,2,2,65,76,75
2,4,3,1,1,72,57,58
1,4,3,1,1,62,70,72
2,1,1,1,2,66,68,64
2,3,3,1,1,63,63,60
1,5,4,1,1,68,76,67
1,2,5,1,1,75,84,80
1,4,5,1,1,89,100,100
2,3,1,1,2,78,72,69
1,1,2,2,2,53,50,60
1,4,3,2,1,49,65,61
1,1,3,1,1,54,63,67
1,3,3,1,2,64,82,77
2,2,3,2,2,60,62,60
2,3,4,1,1,62,65,58
2,4,2,1,2,55,41,48
1,3,4,1,1,91,95,94
1,2,2,2,1,8,24,23
2,4,1,1,1,81,78,78
2,2,1,1,2,79,85,86
1,1,3,1,2,78,87,91
1,3,1,1,1,74,75,82
2,1,2,1,1,57,51,54
1,3,4,1,1,40,59,51
2,5,1,1,2,81,75,76
1,1,1,2,1,44,45,45
1,4,3,2,2,67,86,83
2,5,2,2,2,86,81,75
1,2,1,1,2,65,82,78
1,4,4,2,1,55,76,76
1,4,5,2,1,62,72,74
2,1,2,1,1,63,63,62
1,5,6,1,2,88,99,95
2,3,2,2,1,62,55,55
1,3,2,2,2,59,71,65
1,4,3,1,2,68,78,77
1,4,3,2,1,77,86,86
